idcan,csen,lista,partido,cpartido,n_cartilla,genero,nombre,esind,idservel
2798-5007-B-10,5007,B,PR,PR,10,H,ANDRES EMILIO SEPULVEDA JIMENEZ,0,2798
2798-5007-B-11,5007,B,PPD,PPD,11,M,PAZ SUAREZ BRIONES,0,2798
2798-5007-B-12,5007,B,PR,PR,12,H,RODRIGO JOSE CHANDIA SOTO,0,2798
2798-5007-C-13,5007,C,REPUBLICANO,REPUBLICANO,13,M,MACARENA DEL CARMEN BRAVO ROJAS,0,2798
2798-5007-C-14,5007,C,REPUBLICANO,REPUBLICANO,14,H,LUIS SILVA IRARRAZAVAL,0,2798
2798-5007-C-15,5007,C,REPUBLICANO,REPUBLICANO,15,M,TABITA SARAI SILVA LEIVA,0,2798
2798-5007-C-16,5007,C,REPUBLICANO,REPUBLICANO,16,H,IGNACIO ANDRES DULGER CASTILLO,0,2798
2798-5007-C-17,5007,C,REPUBLICANO,REPUBLICANO,17,M,SYLVIA DEL CARMEN BUSTOS AGUIRRE,0,2798
2798-5007-C-18,5007,C,REPUBLICANO,REPUBLICANO,18,H,JORGE JOSE OSSANDON SPOERER,0,2798
2798-5007-D-19,5007,D,PCCH,PCCH,19,M,KAREN VIVIANA ARAYA ROJAS,0,2798
2798-5007-D-20,5007,D,CS,CS,20,H,YERKO ANTONIO LJUBETIC GODOY,0,2798
2798-5007-D-21,5007,D,COMUNES,COMUNES,21,M,CAMILA FERNANDA MIRANDA MEDINA,0,2798
2798-5007-D-22,5007,D,PS,PS,22,H,SADI MELO MOYA,0,2798
2798-5007-D-23,5007,D,RD,RD,23,M,ROCIO FERNANDA DONOSO PINEDA,0,2798
2798-5007-D-24,5007,D,PL,PL,24,H,RODRIGO ALFONSO RETTIG VARGAS,0,2798
2798-5007-E-25,5007,E,EVOPOLI,EVOPOLI,25,M,GLORIA HUTT HESSE,0,2798
2798-5007-E-26,5007,E,IND-EVOPOLI,EVOPOLI,26,H,JAIME RAVINET DE LA FUENTE,1,2798
2798-5007-E-27,5007,E,RN,RN,27,M,ELEONORA ESPINOZA HERNANDEZ,0,2798
2798-5007-E-28,5007,E,RN,RN,28,H,BRUNO  BARANDA FERRAN,0,2798
2798-5007-E-29,5007,E,UDI,UDI,29,M,MARIA JOSE PUIGRREDON FIGUEROA,0,2798
2798-5007-E-30,5007,E,UDI,UDI,30,H,RODRIGO  DELGADO MOCARQUER,0,2798
2759-5007-A-1,5007,A,PDG,PDG,1,M,ELIZABETH RODRIGUEZ SIERRA,0,2759
2759-5007-A-2,5007,A,PDG,PDG,2,H,MAURICIO ANDRES PAVEZ GALAZ,0,2759
2759-5007-A-3,5007,A,PDG,PDG,3,M,CARMEN GLORIA GONZALEZ BURNS,0,2759
2759-5007-A-4,5007,A,PDG,PDG,4,H,RAMON ANTONIO LEONARDO HUIDOBRO LEIVA,0,2759
2759-5007-A-5,5007,A,PDG,PDG,5,M,TAMARA ALEJANDRA RAMIREZ RAMIREZ,0,2759
2759-5007-A-6,5007,A,PDG,PDG,6,H,GONZALO GERMAN INOJOSA HERNANDEZ,0,2759
2759-5007-B-7,5007,B,PPD,PPD,7,M,NATALIA PIERGENTILI DOMENECH,0,2759
2759-5007-B-8,5007,B,PDC,PDC,8,H,ANDRES PALMA IRARRAZAVAL,0,2759
2759-5007-B-9,5007,B,PDC,PDC,9,M,CARMEN VICTORIA FREI RUIZ-TAGLE,0,2759
2759-5007-B-10,5007,B,PR,PR,10,H,ANDRES EMILIO SEPULVEDA JIMENEZ,0,2759
2759-5007-B-11,5007,B,PPD,PPD,11,M,PAZ SUAREZ BRIONES,0,2759
2759-5007-B-12,5007,B,PR,PR,12,H,RODRIGO JOSE CHANDIA SOTO,0,2759
2759-5007-C-13,5007,C,REPUBLICANO,REPUBLICANO,13,M,MACARENA DEL CARMEN BRAVO ROJAS,0,2759
2759-5007-C-14,5007,C,REPUBLICANO,REPUBLICANO,14,H,LUIS SILVA IRARRAZAVAL,0,2759
2759-5007-C-15,5007,C,REPUBLICANO,REPUBLICANO,15,M,TABITA SARAI SILVA LEIVA,0,2759
2759-5007-C-16,5007,C,REPUBLICANO,REPUBLICANO,16,H,IGNACIO ANDRES DULGER CASTILLO,0,2759
2759-5007-C-17,5007,C,REPUBLICANO,REPUBLICANO,17,M,SYLVIA DEL CARMEN BUSTOS AGUIRRE,0,2759
2759-5007-C-18,5007,C,REPUBLICANO,REPUBLICANO,18,H,JORGE JOSE OSSANDON SPOERER,0,2759
2759-5007-D-19,5007,D,PCCH,PCCH,19,M,KAREN VIVIANA ARAYA ROJAS,0,2759
2759-5007-D-20,5007,D,CS,CS,20,H,YERKO ANTONIO LJUBETIC GODOY,0,2759
2759-5007-D-21,5007,D,COMUNES,COMUNES,21,M,CAMILA FERNANDA MIRANDA MEDINA,0,2759
2759-5007-D-22,5007,D,PS,PS,22,H,SADI MELO MOYA,0,2759
2759-5007-D-23,5007,D,RD,RD,23,M,ROCIO FERNANDA DONOSO PINEDA,0,2759
2759-5007-D-24,5007,D,PL,PL,24,H,RODRIGO ALFONSO RETTIG VARGAS,0,2759
2759-5007-E-25,5007,E,EVOPOLI,EVOPOLI,25,M,GLORIA HUTT HESSE,0,2759
2759-5007-E-26,5007,E,IND-EVOPOLI,EVOPOLI,26,H,JAIME RAVINET DE LA FUENTE,1,2759
2759-5007-E-27,5007,E,RN,RN,27,M,ELEONORA ESPINOZA HERNANDEZ,0,2759
2759-5007-E-28,5007,E,RN,RN,28,H,BRUNO  BARANDA FERRAN,0,2759
2759-5007-E-29,5007,E,UDI,UDI,29,M,MARIA JOSE PUIGRREDON FIGUEROA,0,2759
2759-5007-E-30,5007,E,UDI,UDI,30,H,RODRIGO  DELGADO MOCARQUER,0,2759
2760-5007-A-1,5007,A,PDG,PDG,1,M,ELIZABETH RODRIGUEZ SIERRA,0,2760
2760-5007-A-2,5007,A,PDG,PDG,2,H,MAURICIO ANDRES PAVEZ GALAZ,0,2760
2760-5007-A-3,5007,A,PDG,PDG,3,M,CARMEN GLORIA GONZALEZ BURNS,0,2760
2760-5007-A-4,5007,A,PDG,PDG,4,H,RAMON ANTONIO LEONARDO HUIDOBRO LEIVA,0,2760
2760-5007-A-5,5007,A,PDG,PDG,5,M,TAMARA ALEJANDRA RAMIREZ RAMIREZ,0,2760
2760-5007-A-6,5007,A,PDG,PDG,6,H,GONZALO GERMAN INOJOSA HERNANDEZ,0,2760
2760-5007-B-7,5007,B,PPD,PPD,7,M,NATALIA PIERGENTILI DOMENECH,0,2760
2760-5007-B-8,5007,B,PDC,PDC,8,H,ANDRES PALMA IRARRAZAVAL,0,2760
2760-5007-B-9,5007,B,PDC,PDC,9,M,CARMEN VICTORIA FREI RUIZ-TAGLE,0,2760
2760-5007-B-10,5007,B,PR,PR,10,H,ANDRES EMILIO SEPULVEDA JIMENEZ,0,2760
2760-5007-B-11,5007,B,PPD,PPD,11,M,PAZ SUAREZ BRIONES,0,2760
2760-5007-B-12,5007,B,PR,PR,12,H,RODRIGO JOSE CHANDIA SOTO,0,2760
2760-5007-C-13,5007,C,REPUBLICANO,REPUBLICANO,13,M,MACARENA DEL CARMEN BRAVO ROJAS,0,2760
2760-5007-C-14,5007,C,REPUBLICANO,REPUBLICANO,14,H,LUIS SILVA IRARRAZAVAL,0,2760
2760-5007-C-15,5007,C,REPUBLICANO,REPUBLICANO,15,M,TABITA SARAI SILVA LEIVA,0,2760
2760-5007-C-16,5007,C,REPUBLICANO,REPUBLICANO,16,H,IGNACIO ANDRES DULGER CASTILLO,0,2760
2760-5007-C-17,5007,C,REPUBLICANO,REPUBLICANO,17,M,SYLVIA DEL CARMEN BUSTOS AGUIRRE,0,2760
2760-5007-C-18,5007,C,REPUBLICANO,REPUBLICANO,18,H,JORGE JOSE OSSANDON SPOERER,0,2760
2760-5007-D-19,5007,D,PCCH,PCCH,19,M,KAREN VIVIANA ARAYA ROJAS,0,2760
2760-5007-D-20,5007,D,CS,CS,20,H,YERKO ANTONIO LJUBETIC GODOY,0,2760
2760-5007-D-21,5007,D,COMUNES,COMUNES,21,M,CAMILA FERNANDA MIRANDA MEDINA,0,2760
2760-5007-D-22,5007,D,PS,PS,22,H,SADI MELO MOYA,0,2760
2760-5007-D-23,5007,D,RD,RD,23,M,ROCIO FERNANDA DONOSO PINEDA,0,2760
2760-5007-D-24,5007,D,PL,PL,24,H,RODRIGO ALFONSO RETTIG VARGAS,0,2760
2760-5007-E-25,5007,E,EVOPOLI,EVOPOLI,25,M,GLORIA HUTT HESSE,0,2760
2760-5007-E-26,5007,E,IND-EVOPOLI,EVOPOLI,26,H,JAIME RAVINET DE LA FUENTE,1,2760
2760-5007-E-27,5007,E,RN,RN,27,M,ELEONORA ESPINOZA HERNANDEZ,0,2760
2760-5007-E-28,5007,E,RN,RN,28,H,BRUNO  BARANDA FERRAN,0,2760
2760-5007-E-29,5007,E,UDI,UDI,29,M,MARIA JOSE PUIGRREDON FIGUEROA,0,2760
2760-5007-E-30,5007,E,UDI,UDI,30,H,RODRIGO  DELGADO MOCARQUER,0,2760
2793-5007-A-1,5007,A,PDG,PDG,1,M,ELIZABETH RODRIGUEZ SIERRA,0,2793
2793-5007-A-2,5007,A,PDG,PDG,2,H,MAURICIO ANDRES PAVEZ GALAZ,0,2793
2793-5007-A-3,5007,A,PDG,PDG,3,M,CARMEN GLORIA GONZALEZ BURNS,0,2793
2793-5007-A-4,5007,A,PDG,PDG,4,H,RAMON ANTONIO LEONARDO HUIDOBRO LEIVA,0,2793
2793-5007-A-5,5007,A,PDG,PDG,5,M,TAMARA ALEJANDRA RAMIREZ RAMIREZ,0,2793
2793-5007-A-6,5007,A,PDG,PDG,6,H,GONZALO GERMAN INOJOSA HERNANDEZ,0,2793
2793-5007-B-7,5007,B,PPD,PPD,7,M,NATALIA PIERGENTILI DOMENECH,0,2793
2793-5007-B-8,5007,B,PDC,PDC,8,H,ANDRES PALMA IRARRAZAVAL,0,2793
2793-5007-B-9,5007,B,PDC,PDC,9,M,CARMEN VICTORIA FREI RUIZ-TAGLE,0,2793
2793-5007-B-10,5007,B,PR,PR,10,H,ANDRES EMILIO SEPULVEDA JIMENEZ,0,2793
2793-5007-B-11,5007,B,PPD,PPD,11,M,PAZ SUAREZ BRIONES,0,2793
2793-5007-B-12,5007,B,PR,PR,12,H,RODRIGO JOSE CHANDIA SOTO,0,2793
2793-5007-C-13,5007,C,REPUBLICANO,REPUBLICANO,13,M,MACARENA DEL CARMEN BRAVO ROJAS,0,2793
2793-5007-C-14,5007,C,REPUBLICANO,REPUBLICANO,14,H,LUIS SILVA IRARRAZAVAL,0,2793
2793-5007-C-15,5007,C,REPUBLICANO,REPUBLICANO,15,M,TABITA SARAI SILVA LEIVA,0,2793
2793-5007-C-16,5007,C,REPUBLICANO,REPUBLICANO,16,H,IGNACIO ANDRES DULGER CASTILLO,0,2793
2793-5007-C-17,5007,C,REPUBLICANO,REPUBLICANO,17,M,SYLVIA DEL CARMEN BUSTOS AGUIRRE,0,2793
2793-5007-C-18,5007,C,REPUBLICANO,REPUBLICANO,18,H,JORGE JOSE OSSANDON SPOERER,0,2793
2793-5007-D-19,5007,D,PCCH,PCCH,19,M,KAREN VIVIANA ARAYA ROJAS,0,2793
2793-5007-D-20,5007,D,CS,CS,20,H,YERKO ANTONIO LJUBETIC GODOY,0,2793
2793-5007-D-21,5007,D,COMUNES,COMUNES,21,M,CAMILA FERNANDA MIRANDA MEDINA,0,2793
2793-5007-D-22,5007,D,PS,PS,22,H,SADI MELO MOYA,0,2793
2793-5007-D-23,5007,D,RD,RD,23,M,ROCIO FERNANDA DONOSO PINEDA,0,2793
2793-5007-D-24,5007,D,PL,PL,24,H,RODRIGO ALFONSO RETTIG VARGAS,0,2793
2793-5007-E-25,5007,E,EVOPOLI,EVOPOLI,25,M,GLORIA HUTT HESSE,0,2793
2793-5007-E-26,5007,E,IND-EVOPOLI,EVOPOLI,26,H,JAIME RAVINET DE LA FUENTE,1,2793
2793-5007-E-27,5007,E,RN,RN,27,M,ELEONORA ESPINOZA HERNANDEZ,0,2793
2793-5007-E-28,5007,E,RN,RN,28,H,BRUNO  BARANDA FERRAN,0,2793
2793-5007-E-29,5007,E,UDI,UDI,29,M,MARIA JOSE PUIGRREDON FIGUEROA,0,2793
2793-5007-E-30,5007,E,UDI,UDI,30,H,RODRIGO  DELGADO MOCARQUER,0,2793
2761-5007-A-1,5007,A,PDG,PDG,1,M,ELIZABETH RODRIGUEZ SIERRA,0,2761
2761-5007-A-2,5007,A,PDG,PDG,2,H,MAURICIO ANDRES PAVEZ GALAZ,0,2761
2761-5007-A-3,5007,A,PDG,PDG,3,M,CARMEN GLORIA GONZALEZ BURNS,0,2761
2761-5007-A-4,5007,A,PDG,PDG,4,H,RAMON ANTONIO LEONARDO HUIDOBRO LEIVA,0,2761
2761-5007-A-5,5007,A,PDG,PDG,5,M,TAMARA ALEJANDRA RAMIREZ RAMIREZ,0,2761
2761-5007-A-6,5007,A,PDG,PDG,6,H,GONZALO GERMAN INOJOSA HERNANDEZ,0,2761
2761-5007-B-7,5007,B,PPD,PPD,7,M,NATALIA PIERGENTILI DOMENECH,0,2761
2761-5007-B-8,5007,B,PDC,PDC,8,H,ANDRES PALMA IRARRAZAVAL,0,2761
2761-5007-B-9,5007,B,PDC,PDC,9,M,CARMEN VICTORIA FREI RUIZ-TAGLE,0,2761
2761-5007-B-10,5007,B,PR,PR,10,H,ANDRES EMILIO SEPULVEDA JIMENEZ,0,2761
2761-5007-B-11,5007,B,PPD,PPD,11,M,PAZ SUAREZ BRIONES,0,2761
2761-5007-B-12,5007,B,PR,PR,12,H,RODRIGO JOSE CHANDIA SOTO,0,2761
2761-5007-C-13,5007,C,REPUBLICANO,REPUBLICANO,13,M,MACARENA DEL CARMEN BRAVO ROJAS,0,2761
2761-5007-C-14,5007,C,REPUBLICANO,REPUBLICANO,14,H,LUIS SILVA IRARRAZAVAL,0,2761
2761-5007-C-15,5007,C,REPUBLICANO,REPUBLICANO,15,M,TABITA SARAI SILVA LEIVA,0,2761
2761-5007-C-16,5007,C,REPUBLICANO,REPUBLICANO,16,H,IGNACIO ANDRES DULGER CASTILLO,0,2761
2761-5007-C-17,5007,C,REPUBLICANO,REPUBLICANO,17,M,SYLVIA DEL CARMEN BUSTOS AGUIRRE,0,2761
2761-5007-C-18,5007,C,REPUBLICANO,REPUBLICANO,18,H,JORGE JOSE OSSANDON SPOERER,0,2761
2761-5007-D-19,5007,D,PCCH,PCCH,19,M,KAREN VIVIANA ARAYA ROJAS,0,2761
2761-5007-D-20,5007,D,CS,CS,20,H,YERKO ANTONIO LJUBETIC GODOY,0,2761
2761-5007-D-21,5007,D,COMUNES,COMUNES,21,M,CAMILA FERNANDA MIRANDA MEDINA,0,2761
2761-5007-D-22,5007,D,PS,PS,22,H,SADI MELO MOYA,0,2761
2761-5007-D-23,5007,D,RD,RD,23,M,ROCIO FERNANDA DONOSO PINEDA,0,2761
2761-5007-D-24,5007,D,PL,PL,24,H,RODRIGO ALFONSO RETTIG VARGAS,0,2761
2761-5007-E-25,5007,E,EVOPOLI,EVOPOLI,25,M,GLORIA HUTT HESSE,0,2761
2761-5007-E-26,5007,E,IND-EVOPOLI,EVOPOLI,26,H,JAIME RAVINET DE LA FUENTE,1,2761
2761-5007-E-27,5007,E,RN,RN,27,M,ELEONORA ESPINOZA HERNANDEZ,0,2761
2761-5007-E-28,5007,E,RN,RN,28,H,BRUNO  BARANDA FERRAN,0,2761
2761-5007-E-29,5007,E,UDI,UDI,29,M,MARIA JOSE PUIGRREDON FIGUEROA,0,2761
2761-5007-E-30,5007,E,UDI,UDI,30,H,RODRIGO  DELGADO MOCARQUER,0,2761
2802-5007-A-1,5007,A,PDG,PDG,1,M,ELIZABETH RODRIGUEZ SIERRA,0,2802
2802-5007-A-2,5007,A,PDG,PDG,2,H,MAURICIO ANDRES PAVEZ GALAZ,0,2802
2802-5007-A-3,5007,A,PDG,PDG,3,M,CARMEN GLORIA GONZALEZ BURNS,0,2802
2802-5007-A-4,5007,A,PDG,PDG,4,H,RAMON ANTONIO LEONARDO HUIDOBRO LEIVA,0,2802
2802-5007-A-5,5007,A,PDG,PDG,5,M,TAMARA ALEJANDRA RAMIREZ RAMIREZ,0,2802
2802-5007-A-6,5007,A,PDG,PDG,6,H,GONZALO GERMAN INOJOSA HERNANDEZ,0,2802
2802-5007-B-7,5007,B,PPD,PPD,7,M,NATALIA PIERGENTILI DOMENECH,0,2802
2802-5007-B-8,5007,B,PDC,PDC,8,H,ANDRES PALMA IRARRAZAVAL,0,2802
2802-5007-B-9,5007,B,PDC,PDC,9,M,CARMEN VICTORIA FREI RUIZ-TAGLE,0,2802
2802-5007-B-10,5007,B,PR,PR,10,H,ANDRES EMILIO SEPULVEDA JIMENEZ,0,2802
2802-5007-B-11,5007,B,PPD,PPD,11,M,PAZ SUAREZ BRIONES,0,2802
2802-5007-B-12,5007,B,PR,PR,12,H,RODRIGO JOSE CHANDIA SOTO,0,2802
2802-5007-C-13,5007,C,REPUBLICANO,REPUBLICANO,13,M,MACARENA DEL CARMEN BRAVO ROJAS,0,2802
2802-5007-C-14,5007,C,REPUBLICANO,REPUBLICANO,14,H,LUIS SILVA IRARRAZAVAL,0,2802
2802-5007-C-15,5007,C,REPUBLICANO,REPUBLICANO,15,M,TABITA SARAI SILVA LEIVA,0,2802
2802-5007-C-16,5007,C,REPUBLICANO,REPUBLICANO,16,H,IGNACIO ANDRES DULGER CASTILLO,0,2802
2802-5007-C-17,5007,C,REPUBLICANO,REPUBLICANO,17,M,SYLVIA DEL CARMEN BUSTOS AGUIRRE,0,2802
2802-5007-C-18,5007,C,REPUBLICANO,REPUBLICANO,18,H,JORGE JOSE OSSANDON SPOERER,0,2802
2802-5007-D-19,5007,D,PCCH,PCCH,19,M,KAREN VIVIANA ARAYA ROJAS,0,2802
2802-5007-D-20,5007,D,CS,CS,20,H,YERKO ANTONIO LJUBETIC GODOY,0,2802
2802-5007-D-21,5007,D,COMUNES,COMUNES,21,M,CAMILA FERNANDA MIRANDA MEDINA,0,2802
2802-5007-D-22,5007,D,PS,PS,22,H,SADI MELO MOYA,0,2802
2802-5007-D-23,5007,D,RD,RD,23,M,ROCIO FERNANDA DONOSO PINEDA,0,2802
2802-5007-D-24,5007,D,PL,PL,24,H,RODRIGO ALFONSO RETTIG VARGAS,0,2802
2802-5007-E-25,5007,E,EVOPOLI,EVOPOLI,25,M,GLORIA HUTT HESSE,0,2802
2802-5007-E-26,5007,E,IND-EVOPOLI,EVOPOLI,26,H,JAIME RAVINET DE LA FUENTE,1,2802
2802-5007-E-27,5007,E,RN,RN,27,M,ELEONORA ESPINOZA HERNANDEZ,0,2802
2802-5007-E-28,5007,E,RN,RN,28,H,BRUNO  BARANDA FERRAN,0,2802
2802-5007-E-29,5007,E,UDI,UDI,29,M,MARIA JOSE PUIGRREDON FIGUEROA,0,2802
2802-5007-E-30,5007,E,UDI,UDI,30,H,RODRIGO  DELGADO MOCARQUER,0,2802
2762-5007-A-1,5007,A,PDG,PDG,1,M,ELIZABETH RODRIGUEZ SIERRA,0,2762
2762-5007-A-2,5007,A,PDG,PDG,2,H,MAURICIO ANDRES PAVEZ GALAZ,0,2762
2762-5007-A-3,5007,A,PDG,PDG,3,M,CARMEN GLORIA GONZALEZ BURNS,0,2762
2762-5007-A-4,5007,A,PDG,PDG,4,H,RAMON ANTONIO LEONARDO HUIDOBRO LEIVA,0,2762
2762-5007-A-5,5007,A,PDG,PDG,5,M,TAMARA ALEJANDRA RAMIREZ RAMIREZ,0,2762
2762-5007-A-6,5007,A,PDG,PDG,6,H,GONZALO GERMAN INOJOSA HERNANDEZ,0,2762
2762-5007-B-7,5007,B,PPD,PPD,7,M,NATALIA PIERGENTILI DOMENECH,0,2762
2762-5007-B-8,5007,B,PDC,PDC,8,H,ANDRES PALMA IRARRAZAVAL,0,2762
2762-5007-B-9,5007,B,PDC,PDC,9,M,CARMEN VICTORIA FREI RUIZ-TAGLE,0,2762
2762-5007-B-10,5007,B,PR,PR,10,H,ANDRES EMILIO SEPULVEDA JIMENEZ,0,2762
2762-5007-B-11,5007,B,PPD,PPD,11,M,PAZ SUAREZ BRIONES,0,2762
2762-5007-B-12,5007,B,PR,PR,12,H,RODRIGO JOSE CHANDIA SOTO,0,2762
2762-5007-C-13,5007,C,REPUBLICANO,REPUBLICANO,13,M,MACARENA DEL CARMEN BRAVO ROJAS,0,2762
2762-5007-C-14,5007,C,REPUBLICANO,REPUBLICANO,14,H,LUIS SILVA IRARRAZAVAL,0,2762
2762-5007-C-15,5007,C,REPUBLICANO,REPUBLICANO,15,M,TABITA SARAI SILVA LEIVA,0,2762
2762-5007-C-16,5007,C,REPUBLICANO,REPUBLICANO,16,H,IGNACIO ANDRES DULGER CASTILLO,0,2762
2762-5007-C-17,5007,C,REPUBLICANO,REPUBLICANO,17,M,SYLVIA DEL CARMEN BUSTOS AGUIRRE,0,2762
2762-5007-C-18,5007,C,REPUBLICANO,REPUBLICANO,18,H,JORGE JOSE OSSANDON SPOERER,0,2762
2762-5007-D-19,5007,D,PCCH,PCCH,19,M,KAREN VIVIANA ARAYA ROJAS,0,2762
2762-5007-D-20,5007,D,CS,CS,20,H,YERKO ANTONIO LJUBETIC GODOY,0,2762
2762-5007-D-21,5007,D,COMUNES,COMUNES,21,M,CAMILA FERNANDA MIRANDA MEDINA,0,2762
2762-5007-D-22,5007,D,PS,PS,22,H,SADI MELO MOYA,0,2762
2762-5007-D-23,5007,D,RD,RD,23,M,ROCIO FERNANDA DONOSO PINEDA,0,2762
2762-5007-D-24,5007,D,PL,PL,24,H,RODRIGO ALFONSO RETTIG VARGAS,0,2762
2762-5007-E-25,5007,E,EVOPOLI,EVOPOLI,25,M,GLORIA HUTT HESSE,0,2762
2762-5007-E-26,5007,E,IND-EVOPOLI,EVOPOLI,26,H,JAIME RAVINET DE LA FUENTE,1,2762
2762-5007-E-27,5007,E,RN,RN,27,M,ELEONORA ESPINOZA HERNANDEZ,0,2762
2762-5007-E-28,5007,E,RN,RN,28,H,BRUNO  BARANDA FERRAN,0,2762
2762-5007-E-29,5007,E,UDI,UDI,29,M,MARIA JOSE PUIGRREDON FIGUEROA,0,2762
2762-5007-E-30,5007,E,UDI,UDI,30,H,RODRIGO  DELGADO MOCARQUER,0,2762
2806-5007-A-1,5007,A,PDG,PDG,1,M,ELIZABETH RODRIGUEZ SIERRA,0,2806
2806-5007-A-2,5007,A,PDG,PDG,2,H,MAURICIO ANDRES PAVEZ GALAZ,0,2806
2806-5007-A-3,5007,A,PDG,PDG,3,M,CARMEN GLORIA GONZALEZ BURNS,0,2806
2806-5007-A-4,5007,A,PDG,PDG,4,H,RAMON ANTONIO LEONARDO HUIDOBRO LEIVA,0,2806
2806-5007-A-5,5007,A,PDG,PDG,5,M,TAMARA ALEJANDRA RAMIREZ RAMIREZ,0,2806
2806-5007-A-6,5007,A,PDG,PDG,6,H,GONZALO GERMAN INOJOSA HERNANDEZ,0,2806
2806-5007-B-7,5007,B,PPD,PPD,7,M,NATALIA PIERGENTILI DOMENECH,0,2806
2806-5007-B-8,5007,B,PDC,PDC,8,H,ANDRES PALMA IRARRAZAVAL,0,2806
2806-5007-B-9,5007,B,PDC,PDC,9,M,CARMEN VICTORIA FREI RUIZ-TAGLE,0,2806
2806-5007-B-10,5007,B,PR,PR,10,H,ANDRES EMILIO SEPULVEDA JIMENEZ,0,2806
2806-5007-B-11,5007,B,PPD,PPD,11,M,PAZ SUAREZ BRIONES,0,2806
2806-5007-B-12,5007,B,PR,PR,12,H,RODRIGO JOSE CHANDIA SOTO,0,2806
2806-5007-C-13,5007,C,REPUBLICANO,REPUBLICANO,13,M,MACARENA DEL CARMEN BRAVO ROJAS,0,2806
2806-5007-C-14,5007,C,REPUBLICANO,REPUBLICANO,14,H,LUIS SILVA IRARRAZAVAL,0,2806
2806-5007-C-15,5007,C,REPUBLICANO,REPUBLICANO,15,M,TABITA SARAI SILVA LEIVA,0,2806
2806-5007-C-16,5007,C,REPUBLICANO,REPUBLICANO,16,H,IGNACIO ANDRES DULGER CASTILLO,0,2806
2806-5007-C-17,5007,C,REPUBLICANO,REPUBLICANO,17,M,SYLVIA DEL CARMEN BUSTOS AGUIRRE,0,2806
2806-5007-C-18,5007,C,REPUBLICANO,REPUBLICANO,18,H,JORGE JOSE OSSANDON SPOERER,0,2806
2806-5007-D-19,5007,D,PCCH,PCCH,19,M,KAREN VIVIANA ARAYA ROJAS,0,2806
2806-5007-D-20,5007,D,CS,CS,20,H,YERKO ANTONIO LJUBETIC GODOY,0,2806
2806-5007-D-21,5007,D,COMUNES,COMUNES,21,M,CAMILA FERNANDA MIRANDA MEDINA,0,2806
2806-5007-D-22,5007,D,PS,PS,22,H,SADI MELO MOYA,0,2806
2806-5007-D-23,5007,D,RD,RD,23,M,ROCIO FERNANDA DONOSO PINEDA,0,2806
2806-5007-D-24,5007,D,PL,PL,24,H,RODRIGO ALFONSO RETTIG VARGAS,0,2806
2806-5007-E-25,5007,E,EVOPOLI,EVOPOLI,25,M,GLORIA HUTT HESSE,0,2806
2806-5007-E-26,5007,E,IND-EVOPOLI,EVOPOLI,26,H,JAIME RAVINET DE LA FUENTE,1,2806
2806-5007-E-27,5007,E,RN,RN,27,M,ELEONORA ESPINOZA HERNANDEZ,0,2806
2806-5007-E-28,5007,E,RN,RN,28,H,BRUNO  BARANDA FERRAN,0,2806
2806-5007-E-29,5007,E,UDI,UDI,29,M,MARIA JOSE PUIGRREDON FIGUEROA,0,2806
2806-5007-E-30,5007,E,UDI,UDI,30,H,RODRIGO  DELGADO MOCARQUER,0,2806
2763-5007-A-1,5007,A,PDG,PDG,1,M,ELIZABETH RODRIGUEZ SIERRA,0,2763
2763-5007-A-2,5007,A,PDG,PDG,2,H,MAURICIO ANDRES PAVEZ GALAZ,0,2763
2763-5007-A-3,5007,A,PDG,PDG,3,M,CARMEN GLORIA GONZALEZ BURNS,0,2763
2763-5007-A-4,5007,A,PDG,PDG,4,H,RAMON ANTONIO LEONARDO HUIDOBRO LEIVA,0,2763
2763-5007-A-5,5007,A,PDG,PDG,5,M,TAMARA ALEJANDRA RAMIREZ RAMIREZ,0,2763
2763-5007-A-6,5007,A,PDG,PDG,6,H,GONZALO GERMAN INOJOSA HERNANDEZ,0,2763
2763-5007-B-7,5007,B,PPD,PPD,7,M,NATALIA PIERGENTILI DOMENECH,0,2763
2763-5007-B-8,5007,B,PDC,PDC,8,H,ANDRES PALMA IRARRAZAVAL,0,2763
2763-5007-B-9,5007,B,PDC,PDC,9,M,CARMEN VICTORIA FREI RUIZ-TAGLE,0,2763
2763-5007-B-10,5007,B,PR,PR,10,H,ANDRES EMILIO SEPULVEDA JIMENEZ,0,2763
2763-5007-B-11,5007,B,PPD,PPD,11,M,PAZ SUAREZ BRIONES,0,2763
2763-5007-B-12,5007,B,PR,PR,12,H,RODRIGO JOSE CHANDIA SOTO,0,2763
2763-5007-C-13,5007,C,REPUBLICANO,REPUBLICANO,13,M,MACARENA DEL CARMEN BRAVO ROJAS,0,2763
2763-5007-C-14,5007,C,REPUBLICANO,REPUBLICANO,14,H,LUIS SILVA IRARRAZAVAL,0,2763
2763-5007-C-15,5007,C,REPUBLICANO,REPUBLICANO,15,M,TABITA SARAI SILVA LEIVA,0,2763
2763-5007-C-16,5007,C,REPUBLICANO,REPUBLICANO,16,H,IGNACIO ANDRES DULGER CASTILLO,0,2763
2763-5007-C-17,5007,C,REPUBLICANO,REPUBLICANO,17,M,SYLVIA DEL CARMEN BUSTOS AGUIRRE,0,2763
2763-5007-C-18,5007,C,REPUBLICANO,REPUBLICANO,18,H,JORGE JOSE OSSANDON SPOERER,0,2763
